annee_univ;no_semestre;code_nip;rg;civilite;nom;prenom;bac;groupe_td_1a;groupe_tp_1a;moy;ue21;m2101;m2102;m2103;m2104;m2105;m2106;m2107;ue22;m2201;m2202;m2203;m2204;m2205;m2206;m2207;l2sportf;l2lv2_f
2016-2017;S2;55484461344;33;Mme;LERICHE;Mollie;S;H;H1;13,48;14,42;15,87;10,50;15,17;12,60;15,99;13,83;16,00;12,40;10,50;7,63;10,68;12,33;15,55;16,81;16,24;NI;NI
2017-2018;S2;35305170622;54;M.;BOILEAU;Kip;S;H;H2;12,40;12,57;5,17;14,00;12,75;13,75;15,38;12,00;12,50;12,19;8,78;13,00;13,79;7,33;16,58;10,81;18,50;NI;NI
2018-2019;S2;87616675377;67;M.;FONTENEAU;Philippe;S;F;F2;12,26;12,85;13,27;14,25;11,25;12,08;11,69;15,84;13,00;11,57;11,47;9,00;12,12;9,33;13,83;12,22;13,67;NI;NI
2016-2017;S2;71664507094;1;M.;CARTON;Stanford;S;G;G1;20,00;9,91;7,73;15,25;12,92;5,75;10,22;5,17;13,00;8,73;2,88;8,00;9,43;7,67;9,17;12,41;14,49;14,00;NI
2017-2018;S2;41294879718;1;M.;SABATIER;Marlon;S;H;H1;20,00;11,47;7,58;9,25;14,38;10,58;11,64;9,33;14,50;10,53;7,89;12,00;10,74;11,00;9,17;11,38;12,75;18,00;NI
2016-2017;S2;41294879718;1;M.;SABATIER;Marlon;S;H;H2;20,00;7,87;7,42;9,50;7,83;8,23;7,22;5,80;10,00;8,97;8,75;8,13;6,40;8,67;10,72;11,59;10,17;17,00;NI
2017-2018;S2;73289277165;1;M.;TROUVE;Al;S;I;I2;20,00;12,16;9,50;8,50;14,00;12,67;13,38;11,17;12,75;10,24;8,56;8,00;10,40;9,83;14,92;10,19;12,13;14,00;NI
2018-2019;S2;68298889583;1;M.;THEBAULT;Mike;S;J;J1;20,00;11,07;11,00;11,50;11,30;11,33;11,49;8,33;13,00;12,88;13,00;11,00;13,22;8,17;16,17;15,03;12,12;20,00;NI
2018-2019;S2;78354438342;106;M.;CAILLOT;Gérard;S;H;H1;10,32;9,24;8,23;16,00;10,65;3,67;9,63;10,01;8,00;11,56;12,33;7,00;12,35;10,92;11,83;12,72;14,00;NI;NI
2018-2019;S2;43680732468;1;M.;HERY;Haywood;S;I;I1;20,00;12,22;15,10;15,00;11,30;12,50;10,78;11,65;11,75;11,13;7,56;12,00;12,65;7,17;16,67;10,16;13,83;11,00;NI
2018-2019;S2;56262202567;102;M.;FERET;Quanah;S;F;F2;10,41;10,16;8,00;6,75;9,25;10,33;9,28;12,33;14,10;10,69;12,89;7,00;10,77;7,67;11,67;11,53;13,25;NI;NI
2018-2019;S2;82579808110;52;M.;RIGAUD;Alain;S;I;I1;12,91;13,51;11,27;14,50;16,00;10,75;14,62;14,24;11,25;12,22;11,94;8,00;12,35;14,17;14,17;13,94;10,83;NI;NI
2018-2019;S2;47273331783;49;M.;LAFOSSE;Roderick;S;J;J1;13,13;12,76;12,73;15,50;11,90;10,67;14,42;11,81;14,00;13,54;14,56;8,00;13,72;10,67;16,33;16,19;15,08;NI;NI
2018-2019;S2;59140428015;43;M.;FAYE;Joel;S;J;J1;13,86;14,24;18,77;11,25;13,50;12,67;14,24;15,32;15,00;13,42;15,78;8,00;12,52;12,33;14,50;16,63;13,08;NI;NI
2018-2019;S2;52282348013;1;M.;LOUVEL;Aaron;S;F;F2;20,00;11,13;9,33;13,50;10,35;12,50;8,48;11,66;13,00;12,30;17,11;11,00;12,22;10,50;12,67;10,94;8,67;15,00;NI
2018-2019;S2;78417625114;34;M.;CANET;Cesaire;S;F;F1;14,53;15,55;16,00;18,00;14,85;15,17;15,08;16,83;14,10;13,37;13,06;9,00;15,15;11,00;15,33;15,28;13,38;NI;NI
2018-2019;S2;31842452166;87;Mme;SEGUY;Ariana;S;I;I2;11,15;10,54;6,07;8,00;11,65;13,17;12,38;8,97;10,25;11,85;13,28;10,00;9,80;10,33;14,50;13,75;11,75;NI;NI
2018-2019;S2;53479954513;55;M.;BRAUD;Iréné;S;I;I2;12,89;12,63;9,80;11,25;14,75;9,50;13,83;13,41;13,50;13,18;13,22;10,00;13,17;13,67;16,17;12,66;15,58;NI;NI
2018-2019;S2;77392266683;64;M.;MONTEIRO;Kemp;S;F;F2;12,50;12,41;8,50;12,00;10,10;16,00;12,65;14,00;12,90;12,61;11,14;11,00;15,15;8,17;14,50;12,41;16,17;NI;NI
2018-2019;S2;32164344291;1;M.;HERRY;Arn;S;H;H1;20,00;11,08;9,77;11,50;11,95;10,92;11,33;10,35;11,00;10,12;8,61;7,00;9,35;9,08;13,83;11,56;14,83;14,00;NI
2018-2019;S2;17101168132;78;M.;LE BRUN;Bennie;S;G;G2;11,61;11,41;8,43;11,75;9,95;11,33;10,75;15,33;12,00;11,83;10,67;9,00;12,97;13,00;13,50;13,00;9,83;NI;NI
2018-2019;S2;97631784582;35;Mme;DUCROS;Prue;S;F;F1;14,34;14,58;11,67;15,25;14,05;15,83;13,07;17,33;14,10;14,06;12,44;16,00;13,20;13,33;14,67;13,69;17,92;NI;NI
2018-2019;S2;32285051217;81;M.;MENGUY;Franck;S;G;G2;11,35;12,08;11,87;8,25;9,90;10,50;13,67;16,02;14,00;10,52;4,89;8,00;12,95;12,00;13,00;12,00;12,67;NI;NI
2018-2019;S2;65432436221;74;M.;MORICE;Denzil;21.0;J;J1;11,76;11,75;10,42;17,00;8,35;7,50;14,24;13,35;15,00;11,77;11,94;12,00;13,42;10,00;14,00;10,50;8,33;NI;NI
2018-2019;S2;83323096490;84;M.;GUEDON;Crawford;S;J;J1;11,19;10,93;10,73;16,00;9,05;12,00;10,92;9,50;11,00;11,50;10,56;10,00;11,47;8,33;15,00;13,00;12,67;NI;NI
2018-2019;S2;74882344773;1;M.;HERAULT;Michael;S;I;I2;20,00;12,38;10,40;10,75;11,90;13,50;14,88;13,32;10,25;13,65;13,44;14,00;14,52;10,50;15,83;11,66;17,33;15,00;NI
2018-2019;S2;68778456242;51;M.;GEORGET;Kaden;S;I;I2;13,03;12,79;12,40;8,75;14,55;13,67;12,92;13,41;11,00;13,31;11,72;9,00;12,80;16,33;16,00;14,13;16,83;NI;NI
2018-2019;S2;72463463746;89;M.;LECOCQ;Aldous;S;I;I1;11,12;11,20;5,23;14,50;11,40;11,00;9,91;13,74;11,50;11,03;6,94;8,00;12,10;12,67;15,00;13,19;10,33;NI;NI
2018-2019;S2;72696646681;100;Mme;COURT;Ronda;S;F;F2;10,42;9,71;5,60;15,00;6,50;9,17;8,99;13,67;11,10;11,23;7,31;6,00;13,47;13,17;15,00;12,38;13,33;NI;NI
2018-2019;S2;42257108167;85;M.;MAS;Branden;S;H;H2;11,19;10,64;8,20;13,00;8,50;10,00;10,21;11,67;14,50;11,81;9,28;8,00;14,32;11,42;15,00;11,50;14,83;NI;NI
2018-2019;S2;79443225718;97;M.;MUNOZ;Alf;S;G;G2;10,71;10,00;9,97;13,75;9,45;8,33;11,00;9,98;9,00;11,53;13,50;9,00;9,97;9,00;13,33;15,00;8,75;NI;NI
2018-2019;S2;22671638372;103;M.;LEPINE;Baudouin;S;I;I2;10,40;10,05;5,03;11,00;9,25;12,33;8,67;9,98;13,50;10,80;9,39;10,00;10,30;6,67;14,33;10,94;18,00;NI;NI
2018-2019;S2;22351813143;96;M.;GAUVIN;Dax;TI2D;H;H2;10,72;10,78;8,33;16,00;9,20;10,83;9,42;9,66;14,50;10,66;6,50;7,00;11,82;14,08;11,00;11,88;16,17;NI;NI
2018-2019;S2;41446020147;72;M.;DUPRAT;Everard;S;I;I1;11,93;12,70;5,80;14,50;16,35;9,33;13,53;13,55;12,25;11,06;6,56;8,00;13,62;4,33;18,33;11,88;17,83;NI;NI
2018-2019;S2;63185228288;1;M.;METAYER;Phil;S;H;H1;20,00;10,75;8,60;12,00;10,60;8,17;11,46;10,97;13,75;10,90;13,33;4,00;10,97;11,67;12,50;11,75;12,67;15,00;NI
2018-2019;S2;22152504326;115;M.;CHRISTOPHE;Celestine;TI2D;F;F2;8,93;9,44;9,07;10,50;10,40;9,50;10,23;9,49;6,10;8,36;10,03;7,00;8,97;10,17;6,83;7,59;6,50;NI;NI
2018-2019;S2;71887646649;56;M.;LEPINAY;Cassian;S;G;G2;12,86;13,68;10,60;13,25;16,55;12,83;14,63;13,00;12,00;11,92;10,50;7,00;13,60;9,00;13,33;15,16;14,43;NI;NI
2018-2019;S2;24754380362;101;M.;GODART;Ricky;S;G;G2;10,41;9,65;5,20;10,50;7,70;11,83;8,79;11,33;12,00;11,28;11,17;8,00;14,62;10,00;10,83;11,75;9,50;NI;NI
2018-2019;S2;82789260357;1;M.;PEDRON;Richard;S;I;I2;20,00;14,59;14,03;17,50;15,85;13,50;13,92;13,67;14,00;11,12;8,00;8,00;11,77;10,00;13,17;12,66;18,00;19,00;13,00
2018-2019;S2;54597826387;1;M.;QUINTIN;Hedley;S;F;F2;20,00;11,28;8,42;15,50;8,85;9,83;10,30;15,01;12,90;11,46;11,67;8,00;13,75;12,67;11,33;10,88;10,83;16,00;NI
2018-2019;S2;25251958137;91;M.;BUREL;Austen;S;F;F1;11,06;10,64;5,40;8,50;9,90;12,17;9,65;13,66;13,00;11,54;7,28;5,00;13,55;11,17;16,67;14,88;13,75;NI;NI
2018-2019;S2;56229584521;33;M.;MONIN;Bud;S;I;I1;14,87;13,85;15,63;17,50;14,25;15,00;13,52;10,90;11,75;16,04;18,00;17,00;17,35;15,00;16,83;11,91;16,00;NI;NI
2018-2019;S2;47165510415;77;M.;GALLAIS;Bram;S;H;H2;11,65;11,56;12,43;16,00;8,75;10,33;8,33;18,00;10,00;11,75;10,06;10,00;11,27;12,00;15,17;13,44;11,25;NI;NI
2018-2019;S2;22639313660;92;M.;FERRIER;Olivier;S;H;H1;11,03;9,88;4,23;3,75;13,25;10,33;10,50;8,66;13,00;12,34;8,11;12,00;13,82;7,83;14,83;14,69;16,33;NI;NI
2018-2019;S2;12448362628;1;Mme;FLAMENT;Becka;ES;H;H2;20,00;10,83;8,17;13,00;9,35;7,92;12,00;11,98;14,50;11,78;11,61;6,00;12,80;9,75;16,50;12,56;14,67;12,00;NI
2018-2019;S2;55308849204;62;Mme;SYLVESTRE;Jacqueline;S;H;H2;12,58;12,41;11,90;14,50;9,95;9,67;16,69;15,32;10,00;12,78;13,00;9,00;13,80;12,33;16,33;11,41;15,50;NI;NI
2018-2019;S2;40786286237;58;M.;BATARD;Channing;S;I;I2;12,75;12,34;8,67;5,75;12,90;14,50;12,00;15,34;13,00;13,22;16,11;12,00;13,82;10,17;13,00;11,94;14,67;NI;NI
2018-2019;S2;74781655577;42;M.;VIAUD;Briscoe;S;J;J1;13,88;13,99;15,67;15,00;14,55;10,00;16,02;14,34;13,00;13,76;13,11;12,00;14,10;11,00;16,50;16,25;11,67;NI;NI
2018-2019;S2;82184371370;94;Mme;DOUBLET;Faustine;S;F;F1;10,94;9,75;4,37;11,00;10,25;9,50;8,35;12,33;10,80;12,30;10,28;17,00;10,35;8,67;15,00;12,81;13,92;NI;NI
2018-2019;S2;32376274835;36;M.;MATHON;Cullen;S;H;H2;14,28;14,23;17,17;16,00;15,50;12,50;12,71;14,65;12,00;14,34;16,00;11,00;13,60;12,33;17,67;14,38;17,08;NI;NI
2018-2019;S2;30737214223;53;M.;VILLETTE;Ralph;S;H;H1;12,91;12,15;11,13;13,25;12,55;12,50;10,11;11,98;13,75;13,76;12,44;13,00;13,70;12,17;15,33;14,56;16,83;NI;NI
2018-2019;S2;83412234131;1;M.;TEXIER;Ignace;S;F;F1;20,00;11,80;13,70;11,25;8,75;13,67;10,89;13,32;13,00;13,39;12,61;8,00;13,62;11,83;17,33;14,94;18,00;15,00;NI
2018-2019;S2;97834694934;60;Mme;MINET;Christi;S;G;G1;12,60;12,65;8,37;10,25;12,15;11,17;13,71;16,34;14,50;12,55;14,61;8,00;13,70;8,50;15,17;12,44;15,42;NI;NI
2018-2019;S2;23468555012;80;M.;BECQUET;Darren;S;H;H2;11,59;11,15;6,17;14,75;10,00;13,08;12,79;9,34;12,00;12,08;13,22;8,00;10,92;11,83;14,00;15,44;10,00;NI;NI
2018-2019;S2;37294076157;57;M.;FUCHS;Oli;S;H;H2;12,85;12,19;12,27;14,25;14,60;9,67;12,67;11,35;10,00;13,61;16,33;11,00;13,15;12,50;14,33;14,75;11,08;NI;NI
2018-2019;S2;49261443428;104;M.;REGNAULT;Nat;S;F;F2;10,36;11,14;7,50;13,50;14,90;10,33;10,15;8,47;11,10;9,48;6,33;11,00;9,95;3,67;12,67;11,88;10,83;NI;NI
2018-2019;S2;70175252634;1;M.;TARDIEU;Buck;S;I;I1;20,00;12,51;10,70;14,00;13,10;11,67;13,80;12,67;11,00;13,01;11,94;12,00;13,32;15,00;14,83;11,03;15,92;18,00;NI
2018-2019;S2;34865641714;1;M.;LAHAYE;Elmer;S;H;H2;20,00;10,33;7,00;14,00;11,05;8,00;10,09;10,33;12,00;12,41;10,22;8,00;11,72;12,17;16,50;15,59;15,00;15,00;17,00
2018-2019;S2;32814436863;48;M.;POISSON;Clinton;S;J;J1;13,35;13,56;15,93;11,75;17,05;11,08;12,85;12,00;13,00;13,10;18,56;7,00;13,07;10,83;14,67;14,94;8,17;NI;NI
2018-2019;S2;78193939641;79;M.;LE BERRE;Randolph;S;G;G1;11,59;11,59;7,23;14,75;10,70;10,67;12,63;14,33;10,50;11,58;11,44;11,00;12,62;6,33;13,17;12,63;12,83;NI;NI
2018-2019;S2;84883158734;44;M.;RAOULT;Thurstan;S;G;G1;13,65;13,92;11,30;7,00;16,60;13,83;15,08;14,33;14,50;13,35;13,56;12,00;13,80;9,50;14,33;13,53;18,00;NI;NI
2018-2019;S2;25641028863;75;M.;MARTIAL;Durward;S;G;G1;11,70;10,22;9,03;9,00;11,19;12,67;11,21;6,66;10,50;13,38;13,33;11,00;14,77;12,83;13,50;13,63;14,17;NI;NI
2018-2019;S2;43628936695;83;M.;BEAUDOIN;Maxime;S;H;H1;11,27;11,03;11,77;17,00;9,95;6,33;10,71;11,98;13,00;11,54;12,83;10,00;11,65;6,83;13,83;12,75;11,67;NI;NI
2018-2019;S2;23851816517;39;M.;LESUEUR;Ramsey;S;F;F1;14,04;14,58;12,93;15,00;15,00;13,83;14,12;16,33;14,10;13,42;13,31;12,00;13,65;9,00;14,67;15,16;16,25;NI;NI
2018-2019;S2;49588175142;1;Mme;FAIVRE;Lexie;S;J;J1;20,00;10,13;6,60;11,75;9,20;11,00;12,15;8,98;11,00;11,63;8,94;9,00;10,15;11,33;14,50;14,22;17,75;14,00;NI
2018-2019;S2;52738158103;105;Mme;JAN;Kamryn;STI2D;G;G1;10,33;10,13;6,50;15,50;8,80;8,00;12,55;7,99;13,50;10,56;8,06;5,00;11,85;10,67;14,83;11,75;14,58;NI;NI
2018-2019;S2;28741419147;69;Mme;ESNAULT;Carlene;S;F;F1;12,09;12,11;7,83;10,00;9,35;14,67;11,41;16,35;14,10;12,06;14,22;6,00;12,82;8,67;16,00;12,78;13,92;NI;NI
2017-2018;S2;59968144726;70;M.;DUMORTIER;Donny;31.0;I;I1;10,97;11,76;5,92;13,50;13,50;13,58;11,12;9,83;12,75;10,07;13,11;8,00;10,67;6,67;9,58;8,94;13,50;NI;NI
2018-2019;S2;67733138442;32;M.;HUCHET;Quintin;S;G;G1;14,88;15,27;17,60;16,75;13,55;14,33;15,88;16,33;14,50;14,43;17,67;8,00;14,65;12,83;16,67;13,97;18,75;NI;NI
2018-2019;S2;95627457914;68;M.;PAYEN;Xavier;S;F;F1;12,24;11,11;8,93;8,00;10,30;9,33;9,39;16,50;14,10;13,54;15,81;12,00;14,30;12,50;16,33;11,22;11,83;NI;NI
2018-2019;S2;54655403650;50;M.;DUBUISSON;Hyram;S;F;F2;13,06;13,58;11,70;15,50;12,80;14,50;12,45;15,34;13,00;12,47;11,89;11,00;11,55;10,83;15,17;14,13;13,83;NI;NI
2018-2019;S2;81543852719;76;M.;DURIEZ;Vaughn;S;J;J1;11,68;11,37;8,90;9,00;11,00;12,00;13,43;10,83;13,00;12,04;12,22;9,00;12,10;12,17;13,67;13,50;11,17;NI;NI
2018-2019;S2;71575741077;38;M.;BORDAS;Modeste;S;I;I1;14,06;14,02;8,07;13,00;15,70;12,67;15,50;17,16;12,25;14,09;16,28;10,00;12,87;12,00;15,67;15,47;17,83;NI;NI
2018-2019;S2;88402139920;1;M.;JEGOU;Marlowe;TI2D;J;J1;20,00;9,54;8,43;10,50;8,40;6,17;11,31;8,48;15,00;11,52;8,11;10,00;12,55;9,83;12,83;13,75;14,92;19,00;NI
