annee_candidature;numero_candidat;classement;nom;prenom;sexe;date_naissance;nationalite;code_postal;ville;pays;boursier;profil_candidat;numero_ine;type_etablissement;libelle_etablissement;commune_etablissement;departement_etablissement;pays_etablissement;niveau_etudes_actuel;type_formation;serie;dominante;specialite;lv1;lv2;diplome;diplome_serie;diplome_dominante;diplome_specialite;diplome_mention;diplome_mois_annee_obtention_bac
2016-2017;319048;14;ABADIE;Maverick;M;1998-06-09;FR;35235;Thorigné-Fouillard;France;Boursier du secondaire;En Terminale;V836175821X;Lycée à classe postbac;Lycée Joliot-Curie;Rennes;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;307657;NCF;AGOSTINI;Armel;M;1997-12-26;FR;35850;Gévezé;France;Non boursier;En Terminale;P098703480H;Lycée à classe postbac;Lycée Victor et Hélène BASCH;Rennes;35;France;Terminale;Terminale;STMG;;Mercatique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies du Management et de la Gestion;;Mercatique;;
2016-2017;440974;NP;AIME;Scottie;M;1998-08-25;FR;56300;Pontivy;France;Non boursier;En Terminale;K825759141Y;Lycée à classe postbac;Lycée Joseph Loth;Pontivy;56;France;Terminale;Terminale;S;Sciences de l'ingénieur;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Mathématiques;;
2016-2017;1047110;174;ALEXANDRE;Hazel;F;1995-07-25;FR;29490;Guipavas;France;Non boursier;Non scolarisé;A734187634N;;;;;;;;;;;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;Admis sans mention;06/2013   
2016-2017;705517;NCF;ALLAIN;Concordia;F;1997-03-12;FR;72300;Précigné;France;Non boursier;En Terminale;M306119487F;Lycée à classe postbac;Lycée Raphaël ELIZE;Sablé-sur-Sarthe;72;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;1194170;4;ALLAIN;Tylar;M;1997-03-24;FR;29860;Kersaint Plabennec;France;Non boursier;Scolarisé dans le supérieur en France;Q916085261V;Lycée à classe postbac;Pôle Kerichen-Vauban;Brest;29;France;1ère année d'études supérieures;CPGE;Classe préparatoire scientifique;;MPSI;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Admis mention Très Bien;07/2015   
2016-2017;511748;NCF;ALLAIRE;Chuck;M;1996-02-04;FR;22290;Goudelin;France;Non boursier;En Terminale;E396390033W;Lycée à classe postbac;Lycée Auguste Pavie;Guingamp;22;France;Terminale;Terminale;STMG;;Ressources Humaines et Communication;Anglais;Italien;Bac en préparation;Sciences et Technologies du Management et de la Gestion;;Ressources Humaines et Communication;;
2016-2017;315653;161;ALLEMAND;Kent;M;1998-08-03;FR;76590;Torcy-le-Grand;France;Non boursier;En Terminale;Y624377068Q;Lycée à classe postbac;Lycée Pablo Neruda;Dieppe;76;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;506770;18;AMBLARD;Katie;F;1998-11-26;FR;35200;Rennes;France;Non boursier;En Terminale;U468673332D;Lycée à classe postbac;Lycée Bréquigny;Rennes;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;570561;276;ANCEL;Rodrigue;M;1998-01-05;FR;35170;Bruz;France;Non boursier;En Terminale;X511571555P;Lycée sans classe postbac;Lycée Anita Conti;Bruz;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;420973;NC;ANDRES;Zach;M;1998-07-23;FR;29470;Plougastel-Daoulas;France;Non boursier;En Terminale;Q757286456L;Lycée sans classe postbac;Lycée DE L'IROISE;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2016-2017;1226786;244;ANGLADE;Frederick;M;1996-11-20;FR;50870;Plomb;France;Non boursier;Scolarisé dans le supérieur en France;O571467749N;Ecole;ISEN Rennes cycle informatique et réseaux;Cesson-Sévigné;35;France;1ère année d'études supérieures;Formations d'ingénieurs;Scientifique Cycle Informatique et Réseaux;;;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;Admis sans mention;07/2014   
