annee_inscription;etape;libel_etape;version_etape;num_etudiant;ine;nom;prenom;date_naissance;sexe;nationalite;code_postal;ville;cat_socio_etudiant;cat_socio_parent;bac;mention;annee_bac;departement_bac;etablissement_bac;lib_etab_bac;situ_annee_prec;bourse_superieur
2017-2018;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;55484461344;O021474526Z;LERICHE;Mollie;1997-10-12;F;FRANCAIS(E);14140;LIVAROT-PAYS-D'AUGE;Technicien;Ouvrier qualifie;S;P;2015;14;0140061R;MARCEL GAMBIER;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;55484461344;O021474526Z;LERICHE;Mollie;1997-10-12;F;FRANCAIS(E);14140;LIVAROT-PAYS-D'AUGE;Personne sans activite professionnelle;Ouvrier qualifie;S;P;2015;14;0140061R;MARCEL GAMBIER;C;Bourse enseignement supérieur définitive
2018-2019;T10602;DUT INFORMATIQUE 2 ANNEE;141;35305170622;U065132627L;BOILEAU;Kip;1999-11-07;M;FRANCAIS(E);22150;PLEMY;Personne sans activite professionnelle;Employe administratif d'entreprise;S;P;2017;22;0220056S;RABELAIS;C;Bourse enseignement supérieur définitive
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;35305170622;U065132627L;BOILEAU;Kip;1999-11-07;M;FRANCAIS(E);22150;PLEMY;Personne sans activite professionnelle;Employe administratif d'entreprise;S;P;2017;22;0220056S;RABELAIS;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;87616675377;I889621634S;FONTENEAU;Philippe;2000-05-15;M;FRANCAIS(E);61100;FLERS;Personne sans activite professionnelle;Sans profession -60 ans (hors retraité);S;AB;2018;61;0610021S;JEAN GUEHENNO;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;87616675377;I889621634S;FONTENEAU;Philippe;2000-05-15;M;FRANCAIS(E);61100;FLERS;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;AB;2018;61;0610021S;JEAN GUEHENNO;A;Bourse enseignement supérieur définitive
2017-2018;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;71664507094;P817106293H;CARTON;Stanford;1995-12-19;M;FRANCAIS(E);50490;SAINT-SAUVEUR-VILLAGES;Technicien;Non renseigne (inconnu);S;P;2015;50;0500116E;GERMAIN;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;71664507094;P817106293H;CARTON;Stanford;1995-12-19;M;FRANCAIS(E);50490;SAINT-SAUVEUR-VILLAGES;Personne sans activite professionnelle;Cadre de la fonction publique;S;P;2015;50;0500116E;GERMAIN;H;
2018-2019;T10602;DUT INFORMATIQUE 2 ANNEE;141;41294879718;E874955390V;SABATIER;Marlon;1998-06-19;M;FRANCAIS(E);14340;FORMENTIN;Personne sans activite professionnelle;Professeur, profession scientifique;S;P;2016;14;0140061R;MARCEL GAMBIER;C;Bourse enseignement supérieur définitive
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;41294879718;E874955390V;SABATIER;Marlon;1998-06-19;M;FRANCAIS(E);14340;FORMENTIN;Personne sans activite professionnelle;Professeur, profession scientifique;S;P;2016;14;0140061R;MARCEL GAMBIER;C;Bourse enseignement supérieur définitive
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;41294879718;E874955390V;SABATIER;Marlon;1998-06-19;M;FRANCAIS(E);14340;FORMENTIN;Personne sans activite professionnelle;Professeur, profession scientifique;S;P;2016;14;0140061R;MARCEL GAMBIER;A;Bourse enseignement supérieur définitive
2018-2019;T10602;DUT INFORMATIQUE 2 ANNEE;141;73289277165;X554385274W;TROUVE;Al;1999-02-03;M;FRANCAIS(E);50600;SAINT-HILAIRE-DU-HARCOUET;Personne sans activite professionnelle;Profession liberale;S;AB;2017;50;0500036T;JULLIOT DE LA MORANDIERE;C;Bourse enseignement supérieur définitive
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;73289277165;X554385274W;TROUVE;Al;1999-02-03;M;FRANCAIS(E);50600;SAINT-HILAIRE-DU-HARCOUET;Personne sans activite professionnelle;Profession liberale;S;AB;2017;50;0500036T;JULLIOT DE LA MORANDIERE;A;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;68298889583;I746345653G;THEBAULT;Mike;2000-05-04;M;FRANCAIS(E);56600;LANESTER;Personne sans activite professionnelle;Non renseigne (inconnu);S;B;2018;56;0561698S;LYCEE POLYVALENT JEAN MACE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;68298889583;I746345653G;THEBAULT;Mike;2000-05-04;M;FRANCAIS(E);56600;LANESTER;Personne sans activite professionnelle;Non renseigne (inconnu);S;B;2018;56;0561698S;LYCEE POLYVALENT JEAN MACE;A;Bourse de l'enseignement supérieur
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;78354438342;T359019234V;CAILLOT;Gérard;1999-04-03;M;FRANCAIS(E);35170;BRUZ;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;S;P;2018;35;0350028R;BREQUIGNY STS;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;78354438342;T359019234V;CAILLOT;Gérard;1999-04-03;M;FRANCAIS(E);35170;BRUZ;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;S;P;2018;35;0350028R;BREQUIGNY STS;A;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;43680732468;F276791273U;HERY;Haywood;2000-07-19;M;FRANCAIS(E);44230;SAINT-SEBASTIEN-SUR-LOIRE;Elève/Etudiant;Non renseigne (inconnu);S;AB;2018;44;0440062D;JEAN PERRIN;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;43680732468;F276791273U;HERY;Haywood;2000-07-19;M;FRANCAIS(E);44230;SAINT-SEBASTIEN-SUR-LOIRE;Elève/Etudiant;Non renseigne (inconnu);S;AB;2018;44;0440062D;JEAN PERRIN;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;56262202567;F175932748M;FERET;Quanah;2000-11-23;M;FRANCAIS(E);35240;LE THEIL-DE-BRETAGNE;Elève/Etudiant;Technicien;S;AB;2018;35;0350029S;JOLIOT-CURIE;C;Bourse enseignement supérieur définitive
