annee_univ;no_semestre;code_nip;rg;civilite;nom;prenom;bac;groupe_td_1a;groupe_tp_1a;moy;ue11;m1101;m1102;m1103;m1104;m1105;m1106;ue12;m1201;m1202;m1203;m1204;m1205;m1206;m1207
2016-2017;S1;67770176792;19;Mme;ROSE;Berniece;S;H;H1;13,17;14,03;14,16;15,52;12,25;12,61;16,75;12,00;12,04;13,81;4,00;11,67;11,67;12,83;17,13;16,00
2017-2018;S1;64216574076;26;M.;DELAPORTE;Constant;S;H;H2;13,34;12,05;12,59;13,11;10,30;8,33;12,75;18,75;15,02;14,25;13,20;14,75;17,42;15,93;12,00;17,75
2018-2019;S1;87552137748;33;M.;TOUZE;Bret;S;F2;F;12,53;12,51;9,64;12,07;16,70;12,92;11,81;13,50;12,56;13,20;9,89;13,00;15,50;12,50;10,58;11,38
2016-2017;S1;76697174432;59;M.;BROCHARD;Leopold;S;G;G1;10,49;10,31;9,31;11,48;12,90;5,00;14,21;11,50;10,72;8,65;12,00;7,33;9,00;13,73;13,50;12,50
2017-2018;S1;61114227341;66;M.;BLOCH;Kolby;S;H;H1;11,67;11,29;11,51;12,86;11,10;6,15;14,54;14,00;12,16;10,25;9,47;13,67;14,33;13,20;11,88;13,00
2016-2017;S1;61114227341;93;M.;BLOCH;Kolby;S;H;H2;7,42;6,77;6,53;5,79;3,00;5,50;9,67;14,00;8,26;7,46;7,00;9,67;4,50;11,17;10,38;11,13
2017-2018;S1;80535414991;53;M.;FAYE;Kimball;S;I;I2;12,03;11,75;10,95;13,42;12,80;8,98;12,63;13,00;12,39;12,75;11,87;9,83;12,50;14,53;11,56;13,00
2018-2019;S1;37831736356;84;M.;MARTINI;Ern;S;J1;J;11,04;10,34;8,30;9,95;8,65;11,24;12,25;13,50;11,96;10,20;7,14;11,83;12,50;14,75;16,50;12,50
2018-2019;S1;83288036334;57;M.;ROBLIN;Sly;S;H1;H;11,68;12,06;11,22;13,36;14,45;9,00;10,94;16,00;11,18;13,30;8,35;12,08;10,50;12,00;8,67;14,00
2018-2019;S1;86203391792;28;M.;BEAUFILS;Jeannot;S;I1;I;12,76;13,45;11,71;13,55;14,30;13,33;15,31;13,00;11,85;14,10;7,53;9,67;12,50;13,50;9,67;16,50
2018-2019;S1;25728166586;72;M.;MURAT;Irvine;S;F2;F;11,37;11,92;9,32;12,86;11,85;12,08;13,44;13,00;10,66;11,10;11,91;8,67;6,50;10,50;17,00;11,25
2018-2019;S1;71117967934;48;M.;NICOL;Wilfrid;S;I1;I;12,04;12,03;10,64;11,71;11,60;13,11;13,38;12,00;12,04;11,85;7,97;11,33;12,00;14,00;15,50;12,75
2018-2019;S1;77605128570;10;M.;LEDRU;Cleve;S;J1;J;14,35;13,82;9,71;13,93;14,80;15,52;13,56;18,00;15,05;18,60;12,43;12,17;13,50;16,00;17,67;13,75
2018-2019;S1;51216060265;6;M.;PORTIER;Kennith;S;J1;J;14,67;15,90;13,48;15,43;17,35;18,10;14,75;17,00;13,07;16,60;8,58;10,00;11,25;13,50;17,00;15,63
2018-2019;S1;22333454636;112;M.;LEBRET;Jerome;S;F2;F;9,27;8,47;5,71;10,67;7,85;6,75;9,56;13,00;10,32;13,35;7,80;9,00;8,75;11,00;10,67;11,75
2018-2019;S1;99133428437;2;M.;PRUVOT;Marshal;S;F1;F;16,29;16,63;17,18;16,25;16,60;17,25;15,94;16,00;15,85;18,15;13,58;13,33;17,00;15,00;17,33;15,00
2018-2019;S1;87730674868;100;Mme;BRIQUET;Kay;S;I2;I;9,90;8,42;7,28;10,36;8,75;3,67;10,88;13,00;11,84;13,95;12,24;7,17;10,25;13,00;11,75;14,50
2018-2019;S1;65084993745;26;M.;JARDIN;Benson;S;I2;I;12,93;13,24;10,36;13,29;11,80;14,50;14,63;17,00;12,52;13,20;12,95;9,50;12,75;11,50;13,50;14,50
2018-2019;S1;55784499165;65;M.;MONNOT;Jarvis;S;F2;F;11,58;10,10;5,96;11,64;9,30;9,92;13,06;13,00;13,52;11,60;11,30;12,83;16,25;16,00;12,17;14,00
2018-2019;S1;57050988362;63;M.;JOSSE;Maverick;S;H1;H;11,63;11,38;9,12;12,79;11,35;10,90;13,19;11,50;11,95;12,60;9,24;10,50;11,50;14,00;11,25;16,00
2018-2019;S1;82766591305;66;M.;BORDIER;Innocent;S;G2;G;11,57;10,64;8,24;10,68;9,40;13,19;11,69;10,50;12,78;13,20;8,40;13,08;14,25;13,00;13,75;14,50
2018-2019;S1;58276644284;17;Mme;LEGAY;Beatrix;S;F1;F;13,55;13,32;10,69;14,21;15,75;12,17;14,50;14,00;13,86;16,20;10,42;14,17;14,25;12,50;15,50;13,75
2018-2019;S1;21412482737;51;M.;FOURNET;Kenith;S;G2;G;11,91;12,42;10,94;12,77;11,60;14,52;13,00;10,50;11,25;13,15;6,32;11,00;9,75;12,00;12,67;16,88
2018-2019;S1;43482847611;56;M.;GRANIER;Dominic;21.0;J1;J;11,68;12,26;11,45;13,04;11,75;13,05;10,94;13,50;10,93;15,50;6,80;11,17;8,50;14,00;10,17;8,50
2018-2019;S1;69765619643;88;M.;MOISAN;Burt;S;J1;J;10,92;10,39;9,45;11,29;10,65;8,38;11,13;13,50;11,62;14,50;10,34;12,00;9,50;12,75;10,58;11,00
2018-2019;S1;83892567693;21;M.;CHAIX;Forest;S;I2;I;13,09;13,38;11,60;13,93;14,25;14,17;13,38;13,00;12,70;13,80;10,97;9,50;12,25;14,25;14,50;13,50
2016-2017;S1;17756424195;20;M.;GIRARDOT;Bryce;S;F;F2;12,98;11,78;12,14;11,07;9,15;11,72;12,46;16,00;14,55;16,51;13,50;15,58;11,17;13,50;18,25;15,25
