age,moy_g,dept_etablisseme,position_a
22,13.2169230769230769,35,4
24,11.2811320754716981,29,0
22,11.6442307692307692,29,0
24,11.5385000000000000,35,0
23,13.2436538461538462,22,5
22,13.6928846153846154,29,2
23,13.3490384615384615,22,0
24,12.9115094339622642,35,4
24,10.6503773584905660,29,0
23,12.4965384615384615,56,3
23,11.6448076923076923,50,0
23,12.1909615384615385,29,1
22,12.5063461538461538,56,0
23,12.2009433962264151,35,4
22,13.6573076923076923,44,3
22,11.8123076923076923,29,0
23,11.4944230769230769,22,2
25,11.4200000000000000,56,0
24,14.9730188679245283,29,0
22,11.9863461538461538,22,5
22,12.8557692307692308,22,2
23,16.8554716981132075,22,0
24,11.0236250000000000,29,0
23,12.7800000000000000,61,0
23,14.1558490566037736,22,0
24,10.5738596491228070,22,0
22,12.5219230769230769,29,0
23,11.2356603773584906,29,3
24,13.3924528301886792,20,3
24,12.0739622641509434,29,0
25,15.2741509433962264,22,0
25,11.3988679245283019,29,1
24,12.0798113207547170,29,0
25,10.9840000000000000,49,0
24,15.6056603773584906,29,0
25,16.4833962264150943,69,0
23,14.5850943396226415,22,0
22,14.5500000000000000,22,4
24,11.2456603773584906,35,2
25,10.9911250000000000,29,0
24,11.9218867924528302,29,0
21,12.1521568627450980,22,0
22,11.5092452830188679,35,0
25,12.5924528301886792,29,0
24,11.8050000000000000,35,0
24,13.6441509433962264,29,5
24,10.6852830188679245,22,5
23,10.4633962264150943,56,0
22,11.8634615384615385,35,0
24,13.1928301886792453,22,0
25,11.8998113207547170,29,4
23,12.3175000000000000,56,3
24,13.5013207547169811,35,6
22,11.8340384615384615,35,2
23,11.4384615384615385,35,0
23,13.9965384615384615,22,0
22,15.2151923076923077,22,2
24,9.1905769230769231,22,2
22,12.7648076923076923,44,0
22,12.2363461538461538,22,0
23,12.9042307692307692,35,3
23,11.2813207547169811,29,0
25,14.6577358490566038,35,2
24,13.2739622641509434,35,0
23,12.8042307692307692,29,0
24,12.8226415094339623,29,1
22,12.4575000000000000,56,0
24,11.1392452830188679,35,0
27,11.3343396226415094,35,6
24,11.8798113207547170,22,0
24,11.1643396226415094,35,7
26,10.8579245283018868,85,7
24,11.7062264150943396,31,0
25,11.3681250000000000,35,3
25,15.4344230769230769,35,0
24,13.5103773584905660,29,5
23,10.8567307692307692,22,2
23,13.0566037735849057,29,0
22,11.9876923076923077,29,0
23,11.0873076923076923,56,0
23,14.1833962264150943,22,0
25,10.7342500000000000,22,5
24,11.2498113207547170,56,2
26,13.0875471698113208,29,5
23,10.8513924050632911,22,0
24,10.6556603773584906,22,0
26,11.9643396226415094,35,3
24,10.6153658536585366,29,0
22,13.1473076923076923,35,5
23,11.6253846153846154,35,0
22,13.9725000000000000,50,6
23,10.9371698113207547,35,7
24,14.6833962264150943,22,2
24,11.6966037735849057,56,0
22,14.5942307692307692,85,3
24,13.4411320754716981,75,0
23,11.3801923076923077,29,0
24,11.0275471698113208,29,5
24,10.3372500000000000,14,0
22,12.9688461538461538,35,0
24,11.4300000000000000,35,0
26,13.1475471698113208,29,4
23,14.5807547169811321,35,5
24,11.4967924528301887,50,2
22,11.7338461538461538,56,0
25,13.8577358490566038,29,2
26,9.6922784810126582,27,2
23,13.9950000000000000,29,5
24,13.5186792452830189,35,0
24,11.3951250000000000,29,2
23,13.8684905660377358,35,5
23,11.4660377358490566,29,0
22,11.9556862745098039,35,0
23,11.8348076923076923,22,5
24,13.8866037735849057,22,5
23,10.7432075471698113,29,0
23,13.1076923076923077,35,0
24,12.4211320754716981,29,2
22,11.9192307692307692,35,4
22,11.3748076923076923,29,0
23,13.0896202531645570,6,2
24,10.8324528301886792,56,2
23,10.2185897435897436,35,0
25,12.4671698113207547,29,2
24,13.2188679245283019,29,3
23,12.1211320754716981,29,2
22,15.0232692307692308,35,0
23,12.6547169811320755,22,0
22,13.6253846153846154,22,0
24,12.2326582278481013,22,2
23,12.3957692307692308,22,0
24,13.4503773584905660,29,4
23,10.0958227848101266,22,0
23,11.2651923076923077,49,0
24,13.7050980392156863,29,3
22,11.5947058823529412,56,2
23,12.0305769230769231,29,2
25,15.4781132075471698,75,5
23,11.3676923076923077,56,2
23,15.5815094339622642,22,3
23,11.6711392405063291,22,2
25,11.1933962264150943,22,0
24,16.3547169811320755,22,0
24,11.5396250000000000,22,2
24,11.9900000000000000,22,0
22,14.0328846153846154,22,4
23,14.3419230769230769,22,0
22,11.7982692307692308,29,1
22,12.7151923076923077,56,0
22,14.2046153846153846,22,0
23,13.4275000000000000,35,0
24,11.9483018867924528,22,4
22,12.8573076923076923,29,2
23,13.1098076923076923,29,0
22,11.3790384615384615,35,2
